Hãng điện thoại	Model	Model App	Mã Sửa Chữa	Sửa Chữa	Sửa Chữa App	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền linh kiện	Tiền Công Sửa	Mức Sửa
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Yellow	Thay màn hình có cảm ứng và mặt trước (vàng)		66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	70000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Yellow	Thay màn hình có cảm ứng và mặt trước (vàng)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Yellow	Thay màn hình có cảm ứng và mặt trước (vàng)		80H01413-03	Màn hình có cảm ứng 8S (vàng)	YES	1690000	250000	M2.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)		66H00124-01M	Miếng dán bảo vệ màn hình 8S	YES	70000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-L101.2-Blue	Thay màn hình có cảm ứng và mặt trước (xanh)		80H01413-01	Màn hình có cảm ứng 8S (xanh)	YES	1690000	250000	M2.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M002-Mic	Thay micro dưới (phải dùng mỏ hàn)	Thay micro dưới	36H01900-00M	Micro 8S	YES	30000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G114.2-Red1	Thay nắp anten (đỏ)		74H02345-02M	Nắp anten 8S (đỏ)	YES	192000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G114.2-White1	Thay nắp anten (trắng)		74H02345-00M	Nắp anten 8S (trắng)	YES	192000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G114.2-Yellow1	Thay nắp anten (vàng)		74H02345-04M	Nắp anten 8S (vàng)	YES	192000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G114.2-Blue1	Thay nắp anten (xanh)		74H02345-03M	Nắp anten 8S (xanh)	YES	192000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-C112-Black	Thay nắp lưng (đen)		74H02346-03M	Vỏ ngoài 8S (đen)	YES	410000	200000	M2
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-C112-Red	Thay nắp lưng (đỏ)		74H02346-01M	Vỏ ngoài 8S (đỏ)	YES	410000	200000	M2
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-C112-Blue	Thay nắp lưng (xanh)		74H02346-02M	Vỏ ngoài 8S (xanh)	YES	410000	200000	M2
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M002-BCAM	Thay nút Camera		36H00939-00M	Phím camera 8S	YES	40000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M002-SIM	Thay ổ SIM		75H01111-00M	Ổ sim One S, 8S	YES	80000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M002-SD	Thay ổ thẻ nhớ		75H01139-00M	Ổ thẻ nhớ 8S/ Butterfly S	YES	40000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-B101	Thay pin chính (phải mở máy)	Thay Pin	35H00204-01M	Pin sạc 1700mAh/3,8V 8S	YES	290000	200000	M2
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G105	Thay rung	Thay rung	36H01011-00M	Bộ phận rung (mô tơ) 8S/Desire 300	YES	80000	250000	M2.5
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G101-Black	Thay sạc (đen)		79H00120-01M	Sạc HTC (kg cáp USB) 200mA/5V-1A (đen)	YES	290000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G101-White	Thay sạc (trắng)		79H00120-02M	Sạc HTC (kg cáp USB) 200mA/5V-1A (trắng)	YES	290000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G106-Black	Thay tai nghe (đen)		39H00013-00M	Tai nghe HTC (đen) 8S/8X/Butterfly, Desire 300/500/700/C/L/SV/U/V/X, One S/SV/V/X/X+	YES	350000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-G106-White	Thay tai nghe (Trắng)		39H00013-01M	Tai nghe HTC (trắng) 8S/8X/Butterfly, Desire 300/500/700/C/L/SV/U/V/X, One S/SV/V/X/X+	YES	350000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-C122.3-SSR	Thay bo cảm biến		51H00701-02M	Bo cảm biến quang 8X	YES	180000	350000	M3.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M104.1	Thay bo dưới/ bo sạc/ bo micro		51H10203-00M	Bo đuôi sạc 8X	YES	360000	350000	M3.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M101-Black	Thay bo mạch chính (đen)		99HSK089-02	Bo mạch chính 8X (đen)	YES	2900000	350000	M3.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M101-Blue	Thay bo mạch chính (xanh)		99HSK088-02	Bo mạch chính 8X (xanh)	YES	2900000	350000	M3.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M104.2	Thay bo trên		51H00819-01M	Bo tín hiệu ổ sim 8X	YES	450000	350000	M3.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G117-Main	Thay camera chính	Thay Camera chính	54H00479-00M	Camera chính 8X, Butterfly	YES	724000	400000	M4
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G117-Sub	Thay camera phụ	Thay Camera trước	54H00475-00M	Camera phụ 8X, Butterfly, Desire 501	YES	345000	400000	M4
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-B108-GPS	Thay cáp anten GPS		73H00446-00M	Cáp tín hiệu anten 8X	YES	40000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-B108-AT	Thay cáp anten sóng		73H00449-00M	Cáp tín hiệu anten GPS 8X	YES	37000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-B108-BTWF	Thay cáp anten Wifi/ Bluetooth		73H00448-00M	Cáp tín hiệu anten wifi 8X	YES	37000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-C122-SIMFPC	Thay cáp ổ SIM		51H20501-00M	Cáp tín hiệu bo ổ sim (40 chân) 8X	YES	210000	250000	M2.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G110-BK	Thay cáp tín hiệu Micro-USB (đen)	Thay cáp USB	73H00418-24M	Cáp tín hiệu MicroUSB HTC (đen)	YES	120000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G110-WT	Thay cáp tín hiệu Micro-USB (trắng)	Thay cáp USB	73H00418-20M	Cáp tín hiệu MicroUSB HTC (trắng)	YES	120000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-C122.3-PWR	Thay cáp tín hiệu nút Power		51H20487-00M	Phím nguồn 8X	YES	139000	300000	M3
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G103	Thay chuông	Thay Chuông	36H01897-01M	Chuông Desire 200/500/C/S/SV/U/V/X, S510b, One X, Wildfire S	YES	80000	200000	M2
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M002-JEAR	Thay jack tai nghe		51H20488-00M	Giắc tai nghe 8X	YES	190000	300000	M3
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-M002-JUSB	Thay jack USB/ Micro USB		75H01123-11M	Đuôi sạc Desire 700	YES	50000	400000	M4
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G111-Black	Thay khay SIM (đen)		71H04317-01M	Khung ổ sim 8X (đen)	YES	92000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G111-Blue	Thay khay SIM (xanh)		71H04317-00M	Khung ổ sim 8X (xanh)	YES	92000	0	Free
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-G103.1	Thay loa	Thay Loa	36H01904-00M	Loa 8X/S, Desire 200/300/500/501/C/L/SV, One SV/X+	YES	120000	150000	M1.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-L101.2-Black	Thay màn hình có cảm ứng và mặt trước (đen)		36H01904-00M	Loa 8X/S, Desire 200/300/500/501/C/L/SV, One SV/X+	YES	120000	150000	M1.5
HTC	HTC 8X/ C620e/ PM23200 ACCORD	HTC Windows Phone 8X by HTC	HTC-L101.2-Black	Thay màn hình có cảm ứng và mặt trước (đen)		66H00119-04M	Miếng dán bảo vệ màn hình 8X	YES	70000	0	Free
