LDT		Model App	Mã Sửa Chữa	Sửa Chữa	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền linh kiện	Tiền Công Sửa	Mức Sửa
Lenovo		Lenovo S930	LNV-2.11	Thay Bo Phụ	SP69A462NL	Bo phụ Lenovo S930	YES	150000	200000	M2
Lenovo		Lenovo X2	LNV-2.11	Thay Bo Phụ	5P69A6N4T8	Bo phụ Lenovo X2	YES	260000	300000	M3
Lenovo		Lenovo P780_4G	LNV-2.12	Thay Bo SIM	SP69A15602	Bo SIM Lenovo P780_8G	YES	70000	200000	M2
Lenovo		Lenovo P780_8G	LNV-2.12	Thay Bo SIM	SP69A15602	Bo SIM Lenovo P780_8G	YES	70000	200000	M2
Lenovo		Lenovo A319	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6N43B	Màn hình có cảm ứng Lenovo A319	YES	800000	200000	M2
Lenovo		Lenovo A526	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6MW4Y	Màn hình có cảm ứng Lenovo A526	YES	1320000	200000	M2
Lenovo		Lenovo A6000	LNV-2.200	Thay Màn hình có cảm ứng	5D68C00655	Màn hình có cảm ứng Lenovo A6000	YES	1150000	300000	M3
Lenovo		Lenovo K900_16G	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39424	Màn hình có cảm ứng Lenovo K900	YES	2780000	300000	M3
Lenovo		Lenovo K900_16G	LNV-2.200	Thay Màn hình có cảm ứng	SMO9A44693	Khung sườn có keo dán màn hình và cảm ứng Lenovo K900	YES	530000	300000	M3
Lenovo		Lenovo K900_32G	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39424	Màn hình có cảm ứng Lenovo K900	YES	2780000	300000	M3
Lenovo		Lenovo K900_32G	LNV-2.200	Thay Màn hình có cảm ứng	SMO9A44693	Khung sườn có keo dán màn hình và cảm ứng Lenovo K900	YES	530000	300000	M3
Lenovo		Lenovo P700i	LNV-2.200	Thay Màn hình có cảm ứng	5D19A39234	Màn hình Lenovo P700i	YES	920000	250000	M2.5
Lenovo		Lenovo P70-A	LNV-2.200	Thay Màn hình có cảm ứng	5D68C00450	Màn hình có cảm ứng Lenovo P70-A	YES	1550000	300000	M3
Lenovo		Lenovo P780_4G	LNV-2.200	Thay Màn hình có cảm ứng	5D79A463TI	Keo dán cảm ứng Lenovo P780_8G	YES	50000	250000	M2.5
Lenovo		Lenovo P780_4G	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39381	Màn hình có cảm ứng Lenovo P780_8G	YES	2070000	300000	M3
Lenovo		Lenovo P780_8G	LNV-2.200	Thay Màn hình có cảm ứng	5D79A463TI	Keo dán cảm ứng Lenovo P780_8G	YES	50000	250000	M2.5
Lenovo		Lenovo P780_8G	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39381	Màn hình có cảm ứng Lenovo P780_8G	YES	2070000	300000	M3
Lenovo		Lenovo S660	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6MVY7	Màn hình có cảm ứng và vỏ mặt trước Lenovo S660	YES	1740000	300000	M3
Lenovo		Lenovo S820	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S860	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6MW3C	Màn hình có cảm ứng và vỏ mặt trước Lenovo S860	YES	2170000	200000	M2
Lenovo		Lenovo S920	LNV-2.200	Thay Màn hình có cảm ứng	5D19A39353	Màn hình có cảm ứng (đen) Lenovo S920	YES	2350000	200000	M2
Lenovo		Lenovo S920	LNV-2.200	Thay Màn hình có cảm ứng	5D79A4639T	Keo dán cảm ứng Lenovo S920	YES	50000	250000	M2.5
Lenovo		Lenovo S920_8G	LNV-2.200	Thay Màn hình có cảm ứng	5D19A39353	Màn hình có cảm ứng (đen) Lenovo S920	YES	2350000	200000	M2
Lenovo		Lenovo S920_8G	LNV-2.200	Thay Màn hình có cảm ứng	5D79A4639T	Keo dán cảm ứng Lenovo S920	YES	50000	250000	M2.5
Lenovo		Lenovo S930	LNV-2.200	Thay Màn hình có cảm ứng	5D69A465W2	Màn hình có cảm ứng và vỏ mặt trước Lenovo S930	YES	2550000	200000	M2
Lenovo		Lenovo S960	LNV-2.200	Thay Màn hình có cảm ứng	5D69A465L8	Màn hình có cảm ứng và vỏ mặt trước Lenovo S960	YES	3090000	200000	M2
Lenovo		Lenovo X2	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6N4T7	Màn hình có cảm ứng Lenovo X2	YES	2120000	300000	M3
Lenovo		Lenovo A319	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A6N43B	Màn hình có cảm ứng Lenovo A319	YES	800000	200000	M2
Lenovo		Lenovo A328	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D19A6N2BU	Màn hình có cảm ứng và vỏ mặt trước (đen) Lenovo A328	YES	880000	250000	M2.5
Lenovo		Lenovo A5000	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D68C00742	Màn hình có cảm ứng (đen) Lenovo A5000	YES	1030000	250000	M2.5
Lenovo		Lenovo A536	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A6N0DB	Màn hình có cảm ứng và vỏ mặt trước (đen) Lenovo A536	YES	1240000	250000	M2.5
Lenovo		Lenovo A680	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A4671U	Màn hình có cảm ứng và vỏ mặt trước (đen) Lenovo A680	YES	1240000	300000	M3
Lenovo		Lenovo A850	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5T59A464P1	Màn hình có cảm ứng và vỏ mặt trước Lenovo A850 (đen)	YES	1100000	300000	M3
Lenovo		Lenovo A859	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A6MWTE	Màn hình (xám) Lenovo A859	YES	1860000	300000	M3
Lenovo		Lenovo K910L	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A4673B	Bộ màn hình có cảm ứng và vỏ mặt trước (đen) Lenovo K910L	YES	3100000	300000	M3
Lenovo		Lenovo S580	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A6N3EU	Màn hình có cảm ứng (đen) Lenovo S580	YES	1600000	250000	M2.5
Lenovo		Lenovo S650	LNV-2.201	Thay Màn hình có cảm ứng (đen)	SD69A462FT	Màn hình có cảm ứng Lenovo S650 (đen)	YES	1310000	200000	M2
Lenovo		Lenovo S820	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5S59A463PK	Khung vỏ mặt trước có keo dán cảm ứng (xám) Lenovo S820_8G	YES	310000	250000	M2.5
Lenovo		Lenovo S820	LNV-2.201	Thay Màn hình có cảm ứng (đen)	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5S59A463PK	Khung vỏ mặt trước có keo dán cảm ứng (xám) Lenovo S820_8G	YES	310000	250000	M2.5
Lenovo		Lenovo S820_8G	LNV-2.201	Thay Màn hình có cảm ứng (đen)	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S850	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D69A6N0GC	Màn hình có cảm ứng và vỏ mặt trước (đen) Lenovo S850	YES	1910000	250000	M2.5
Lenovo		Lenovo S90-A_32G	LNV-2.201	Thay Màn hình có cảm ứng (đen)	5D68C00172	Màn hình có cảm ứng (xám) Lenovo S90-A	YES	1530000	300000	M3
Lenovo		Lenovo A328	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D19A6N2BV	Màn hình có cảm ứng và vỏ mặt trước (trắng) Lenovo A328	YES	880000	250000	M2.5
Lenovo		Lenovo A5000	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D68C01819	Màn hình có cảm ứng (trắng) Lenovo A5000	YES	1030000	250000	M2.5
Lenovo		Lenovo A536	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D69A6N0DA	Màn hình có cảm ứng và vỏ mặt trước (trắng) Lenovo A536	YES	1240000	250000	M2.5
Lenovo		Lenovo A680	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D69A467LB	Màn hình có cảm ứng và vỏ mặt trước (trắng) Lenovo A680	YES	1210000	300000	M3
Lenovo		Lenovo A850	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5T59A464Y8	Màn hình có cảm ứng và vỏ mặt trước (trắng) Lenovo A850	YES	1060000	300000	M3
Lenovo		Lenovo A859	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D69A467PK	Màn hình có cảm ứng (trắng) Lenovo A859	YES	1730000	300000	M3
Lenovo		Lenovo S580	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D68C00148	Màn hình có cảm ứng (silver) Lenovo S580	YES	2090000	300000	M3
Lenovo		Lenovo S650	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D69A46629	Màn hình có cảm ứng (trắng) Lenovo S650	YES	1290000	200000	M2
Lenovo		Lenovo S650	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5S59A4662B	Khung vỏ mặt trước có keo dán cảm ứng (trắng) Lenovo S650	YES	330000	250000	M2.5
Lenovo		Lenovo S820	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S820	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	SMO9A09856	Khung vỏ mặt trước có keo dán cảm ứng (trắng) Lenovo S820_8G	YES	300000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	SMO9A09856	Khung vỏ mặt trước có keo dán cảm ứng (trắng) Lenovo S820_8G	YES	300000	200000	M2
Lenovo		Lenovo S850	LNV-2.202	Thay Màn hình có cảm ứng (trắng)	5D69A6MYK6	Màn hình có cảm ứng và vỏ mặt trước (trắng) Lenovo S850	YES	1910000	250000	M2.5
Lenovo		Lenovo S580	LNV-2.203	Thay Màn hình có cảm ứng (vàng)	5D68C00151	Màn hình có cảm ứng (gold) Lenovo S580	YES	1480000	300000	M3
Lenovo		Lenovo S90-A_32G	LNV-2.203	Thay Màn hình có cảm ứng (vàng)	5D68C00174	Màn hình có cảm ứng (vàng) Lenovo S90-A	YES	1540000	300000	M3
Lenovo		Lenovo S580	LNV-2.204	Thay Màn hình có cảm ứng (bạc)	5D68C00148	Màn hình có cảm ứng (silver) Lenovo S580	YES	2090000	300000	M3
Lenovo		Lenovo S90-A_32G	LNV-2.204	Thay Màn hình có cảm ứng (bạc)	5D68C00232	Màn hình có cảm ứng (bạc) Lenovo S90-A	YES	1530000	300000	M3
Lenovo		Lenovo A526	LNV-2.210	Thay Màn hình có cảm ứng (đỏ)	5D69A6MW4Y	Màn hình có cảm ứng Lenovo A526	YES	1320000	200000	M2
Lenovo		Lenovo S820	LNV-2.210	Thay Màn hình có cảm ứng (đỏ)	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S820	LNV-2.210	Thay Màn hình có cảm ứng (đỏ)	SMO9A45601	Khung vỏ mặt trước có keo dán cảm ứng (đỏ) Lenovo S820_8G	YES	310000	250000	M2.5
Lenovo		Lenovo S820_8G	LNV-2.210	Thay Màn hình có cảm ứng (đỏ)	SD19A39401	Màn hình có cảm ứng (đen) Lenovo S820_8G	YES	2170000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.210	Thay Màn hình có cảm ứng (đỏ)	SMO9A45601	Khung vỏ mặt trước có keo dán cảm ứng (đỏ) Lenovo S820_8G	YES	310000	250000	M2.5
Lenovo		Lenovo S960	LNV-2.210	Thay Màn hình có cảm ứng (đỏ)	5D69A465L8	Màn hình có cảm ứng và vỏ mặt trước Lenovo S960	YES	3090000	200000	M2
Lenovo		Lenovo A269i	LNV-2.220	Thay Màn hình	SD19A44464	Màn hình Lenovo A269i	YES	320000	200000	M2
Lenovo		Lenovo A316i	LNV-2.220	Thay Màn hình	5D19A465I5	Màn hình Lenovo A316i	YES	530000	300000	M3
Lenovo		Lenovo A316i	LNV-2.220	Thay Màn hình	5D79A467SW	Keo dán cảm ứng Lenovo A316I	YES	40000	250000	M2.5
Lenovo		Lenovo A369i	LNV-2.220	Thay Màn hình	5D19A463HH	Màn hình kg cảm ứng Lenovo A369I	YES	600000	250000	M2.5
Lenovo		Lenovo A390	LNV-2.220	Thay Màn hình	5D19A39193	Màn hình Lenovo A390/A690	YES	650000	250000	M2.5
Lenovo		Lenovo A390	LNV-2.220	Thay Màn hình	5O29A464B9	Miếng keo cảm ứng Lenovo A390	YES	30000	0	Free
Lenovo		Lenovo A516	LNV-2.220	Thay Màn hình	SD19A43929	Màn hình kg cảm ứng Lenovo A516	YES	860000	250000	M2.5
Lenovo		Lenovo A706	LNV-2.220	Thay Màn hình	5D19A39177	Màn hình Lenovo A706/A800	YES	870000	300000	M3
Lenovo		Lenovo A706	LNV-2.220	Thay Màn hình	5D79A4639S	Miếng dán cảm ứng Lenovo A706	YES	40000	0	Free
Lenovo		Lenovo P770	LNV-2.220	Thay Màn hình	5D19A39294	Màn hình Lenovo P770	YES	890000	300000	M3
Lenovo		Lenovo P770	LNV-2.220	Thay Màn hình	5D79A463TG	Keo dán cảm ứng Lenovo P770	YES	40000	250000	M2.5
Lenovo		Lenovo A269i	LNV-2.230	Thay Cảm ứng	5S59A465KK	Cảm ứng có vỏ mặt trước Lenovo A269I	YES	400000	200000	M2
Lenovo		Lenovo A316i	LNV-2.230	Thay Cảm ứng	5D79A467SW	Keo dán cảm ứng Lenovo A316I	YES	40000	250000	M2.5
Lenovo		Lenovo A316i	LNV-2.230	Thay Cảm ứng	5T59A4663F	Cảm ứng Lenovo A316i	YES	500000	300000	M3
Lenovo		Lenovo A369i	LNV-2.230	Thay Cảm ứng	5T59A463WG	Cảm ứng Lenovo A369I	YES	400000	250000	M2.5
Lenovo		Lenovo A390	LNV-2.231	Thay Cảm ứng (đen)	5O29A464B9	Miếng keo cảm ứng Lenovo A390	YES	30000	0	Free
Lenovo		Lenovo A390	LNV-2.231	Thay Cảm ứng (đen)	SD19A39368	Cảm ứng Lenovo A390	YES	420000	250000	M2.5
Lenovo		Lenovo A516	LNV-2.231	Thay Cảm ứng (đen)	SD19A39435	Cảm ứng (đen) Lenovo A516	YES	590000	250000	M2.5
Lenovo		Lenovo A706	LNV-2.231	Thay Cảm ứng (đen)	5D79A4639S	Miếng dán cảm ứng Lenovo A706	YES	40000	0	Free
Lenovo		Lenovo A706	LNV-2.231	Thay Cảm ứng (đen)	SD19A39333	Cảm ứng (đen) Lenovo A706	YES	620000	300000	M3
Lenovo		Lenovo P770	LNV-2.231	Thay Cảm ứng (đen)	5D19A39396	Cảm ứng Lenovo P770	YES	740000	300000	M3
Lenovo		Lenovo P770	LNV-2.231	Thay Cảm ứng (đen)	5D79A463TG	Keo dán cảm ứng Lenovo P770	YES	40000	250000	M2.5
Lenovo		Lenovo S560	LNV-2.231	Thay Cảm ứng (đen)	5D19A39236	Cảm ứng (đen) Lenovo S560	YES	630000	250000	M2.5
Lenovo		Lenovo A390	LNV-2.232	Thay Cảm ứng (trắng)	5O29A464B9	Miếng keo cảm ứng Lenovo A390	YES	30000	0	Free
Lenovo		Lenovo A390	LNV-2.232	Thay Cảm ứng (trắng)	SD19A45925	Cảm ứng (trắng) Lenovo A390	YES	480000	250000	M2.5
Lenovo		Lenovo A516	LNV-2.232	Thay Cảm ứng (trắng)	ST59A4638A	Cảm ứng (trắng) Lenovo A516	YES	530000	250000	M2.5
Lenovo		Lenovo A706	LNV-2.232	Thay Cảm ứng (trắng)	5D79A4639S	Miếng dán cảm ứng Lenovo A706	YES	40000	0	Free
Lenovo		Lenovo A706	LNV-2.232	Thay Cảm ứng (trắng)	SD19A39423	Cảm ứng (trắng) Lenovo A706	YES	560000	300000	M3
Lenovo		Lenovo P770	LNV-2.233	Thay Cảm ứng (xanh)	5D19A39388	Cảm ứng (xanh đen) Lenovo P770	YES	680000	300000	M3
Lenovo		Lenovo P770	LNV-2.233	Thay Cảm ứng (xanh)	5D79A463TG	Keo dán cảm ứng Lenovo P770	YES	40000	250000	M2.5
Lenovo		Lenovo A369i	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5F79A463HM	Cáp tín hiệu phím nguồn Lenovo A369I	YES	20000	200000	M2
Lenovo		Lenovo A390	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SB29A43658	Dây tín hiệu phím nguồn Lenovo A390	YES	20000	200000	M2
Lenovo		Lenovo A5000	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5F78C00718	Cáp tín hiệu phím âm thanh Lenovo A5000	YES	40000	200000	M2
Lenovo		Lenovo A516	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SP69A44032	Dây tín hiệu phím nguồn Lenovo A516	YES	20000	200000	M2
Lenovo		Lenovo A536	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5F79A6N0DL	Cáp tín hiệu phím Lenovo A536	YES	20000	250000	M2.5
Lenovo		Lenovo A680	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5F79A466RG	Cáp tín hiệu phím nguồn Lenovo A680	YES	20000	200000	M2
Lenovo		Lenovo A706	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SP69A15526	Cáp cảm biến Lenovo A706	YES	100000	200000	M2
Lenovo		Lenovo A850	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SF79A4625F	Cáp cảm biến Lenovo A850	YES	30000	200000	M2
Lenovo		Lenovo A859	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5F79A465RD	Cáp cảm biến Lenovo A859	YES	30000	200000	M2
Lenovo		Lenovo K900_16G	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SP69A15464	Cáp tín hiệu phím nguồn Lenovo K900	YES	30000	200000	M2
Lenovo		Lenovo K900_32G	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SP69A15464	Cáp tín hiệu phím nguồn Lenovo K900	YES	30000	200000	M2
Lenovo		Lenovo P70-A	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5F78C00455	Cáp tín hiệu phím nguồn & volume Lenovo P70-A	YES	30000	300000	M3
Lenovo		Lenovo P770	LNV-2.30	Thay Cáp tín hiệu nút nguồn	5P69A15293	Cáp cảm biến Lenovo P770	YES	130000	200000	M2
Lenovo		Lenovo P780_4G	LNV-2.30	Thay Cáp tín hiệu nút nguồn	SP69A15599	Cáp cảm biến Lenovo P780_8G	YES	60000	200000	M2
